,Clothing ID,Review Text,Department Name,Class Name
0,5,very good purchase made,Tops,Sweaters
1,14,happy with the colour,Bottoms,Pants
2,16,very good and nice,Bottoms,Skirts
3,19,very good purchase made,Bottoms,Skirts
4,30,overall very satisfied with the product quality,Bottoms,Jeans
5,7,good colour but fit is not good,Tops,Sweaters
6,17,not good colour,Bottoms,Pants
7,3,very goog and satisfied with the excellent delivery,Tops,Sweaters
8,21,wonderful experience in this very efficient app,Tops,Sweaters
9,19,what a beautiful product and excellent service,Bottoms,Skirts
10,4,good product exclusive delivery very satisfied,Dresses,Dresses
11,23,good product and very good quality,Jackets,Jackets
12,29,okay product but colour is not good,Dresses,Dresses
13,18,very good purchase will buy again from this site,Bottoms,Skirts
14,13,satisfied with the product colour could be better but the delivery was very fast,Tops,Sweaters
15,24,good and comfortable,Jackets,Jackets
16,6,horrendous experience very dissapointed with the product bad quality,Jackets,Jackets
17,32,very good purchase and excellent delivery,Dresses,Dresses
18,15,excellent purchase very happy with it,Bottoms,Pants
19,4,not as expected unsatisfied with the color,Dresses,Dresses
20,4,very good product happy with it,Dresses,Dresses
21,8,"very good product, quality is very good",Tops,Sweaters
22,17,good product and good service and quality,Bottoms,Pants
23,31,good product as i expected from this excellent brand. Will buy again.,Bottoms,Jeans
24,6,not as in picture but ok,Jackets,Jackets
25,38,Very Good Product,Dresses,Dresses
